"","ReefName","CullSiteName","Year","MaxCPUE","CPUE","Total","Bottomtime","cots_density_cpue","cots_problem","x","y","benthic_class","geomorphic_class","dist_to_benth","dist_to_geo","infill_benth","infill_geo"
"59","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_100",2025,0.00416666666666667,0.00113636363636364,1,880,0.00113636363636364,0,147.7472,-18.9309,"Sand","Sheltered Reef Slope",0,0,NA,NA
"60","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_101",2020,0.00294117647058824,0.00294117647058824,1,340,0.00294117647058824,0,147.7937,-18.9387,"Sand","Back Reef Slope",0,0,NA,NA
"61","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_101",2023,0.0025,0.00125,1,800,0.00125,0,147.7937,-18.9387,"Sand","Back Reef Slope",0,0,NA,NA
"62","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_102",2020,0,0,0,300,0,0,147.7499,-18.9337,"Rock","Patch Reef",0,0,NA,NA
"63","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_102",2025,0.005,0.00476190476190476,2,420,0.00476190476190476,0,147.7499,-18.9337,"Rock","Patch Reef",0,0,NA,NA
"64","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_103",2020,0.00555555555555556,0.00432276657060519,3,694,0.00432276657060519,0,147.7934,-18.9352,"Sand","Deep Lagoon",0,0,NA,NA
"65","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_103",2023,0.0025,0.00125,1,800,0.00125,0,147.7934,-18.9352,"Sand","Deep Lagoon",0,0,NA,NA
"66","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_104",2022,0,0,0,300,0,0,147.7534,-18.9382,"Coral/Algae","Sheltered Reef Slope",0,0,NA,NA
"67","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_105",2021,0.00625,0.0046875,3,640,0.0046875,0,147.7921,-18.9319,"Coral/Algae","Deep Lagoon",0,0,NA,NA
"68","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_105",2022,0,0,0,600,0,0,147.7921,-18.9319,"Coral/Algae","Deep Lagoon",0,0,NA,NA
"69","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_106",2022,0,0,0,300,0,0,147.7513,-18.9393,"Rubble","Sheltered Reef Slope",38.8487762183446,0,"Rubble",NA
"70","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_107",2020,0,0,0,320,0,0,147.7471,-18.9362,NA,"Plateau",109.700998475727,0,NA,NA
